RowID,CCNumber,CrimeDateTime,CrimeCode,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,Location,Old_District,New_District,Neighborhood,Latitude,Longitude,GeoLocation,PremiseType,Total_Incidents,x,y
44030,24E08240,5/26/2024 1:25:00 AM,3AO,ROBBERY,,,934,F,24,WHITE,NOT_HISPANIC_OR_LATINO,0 E MONTGOMERY ST,N/A,SOUTHERN,FEDERAL HILL,39.279850000000003,-76.613837000000004,"(39.279850000000003,-76.613837000000004)",,1,-76.613837,39.2798500000001
44031,24E08240,5/26/2024 1:25:00 AM,3AO,ROBBERY,,,934,F,24,WHITE,NOT_HISPANIC_OR_LATINO,0 E MONTGOMERY ST,N/A,SOUTHERN,FEDERAL HILL,39.279850000000003,-76.613837000000004,"(39.279850000000003,-76.613837000000004)",,1,-76.613837,39.2798500000001
45767,24E07411,5/22/2024 7:15:00 AM,6H,LARCENY,,,934,NA,,,,0 E CROSS ST,N/A,SOUTHERN,FEDERAL HILL,39.276589999999999,-76.613696000000004,"(39.276589999999999,-76.613696000000004)",,1,-76.6136959999999,39.2765900000001
46521,24E03356,5/11/2024 1:56:00 AM,4E,COMMON ASSAULT,,,934,M,,WHITE,NOT_HISPANIC_OR_LATINO,0 E CROSS ST,N/A,SOUTHERN,FEDERAL HILL,39.277014999999999,-76.613090999999997,"(39.277014999999999,-76.613090999999997)",,1,-76.6130909999999,39.2770150000001
46522,24E03356,5/11/2024 1:56:00 AM,4E,COMMON ASSAULT,,,934,M,25,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,0 E CROSS ST,N/A,SOUTHERN,FEDERAL HILL,39.277014999999999,-76.613090999999997,"(39.277014999999999,-76.613090999999997)",,1,-76.6130909999999,39.2770150000001
46687,24E02331,5/8/2024 1:45:00 AM,6H,LARCENY,,,934,F,25,WHITE,NOT_HISPANIC_OR_LATINO,0 W WEST ST,N/A,SOUTHERN,FEDERAL HILL,39.275632999999999,-76.614790999999997,"(39.275632999999999,-76.614790999999997)",,1,-76.614791,39.275633
47056,24E05576,5/17/2024 6:55:00 PM,6F,LARCENY FROM AUTO,,,934,F,28,,UNKNOWN,900 HENRY ST,N/A,SOUTHERN,FEDERAL HILL,39.278989457987919,-76.608279441242274,"(39.278989457987919,-76.608279441242274)",,1,-76.608279441,39.2789894580001
47057,24E05576,5/17/2024 6:55:00 PM,6F,LARCENY FROM AUTO,,,934,M,28,,UNKNOWN,900 HENRY ST,N/A,SOUTHERN,FEDERAL HILL,39.278989457987919,-76.608279441242274,"(39.278989457987919,-76.608279441242274)",,1,-76.608279441,39.2789894580001
47437,24E07525,5/23/2024 10:00:00 PM,4E,COMMON ASSAULT,,,111,M,30,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,200 KEY HWY,N/A,CENTRAL,FEDERAL HILL,39.280622000000001,-76.611171999999996,"(39.280622000000001,-76.611171999999996)",,1,-76.611172,39.2806220000001
47709,24E05315,5/16/2024 11:45:00 PM,3AO,ROBBERY,,,934,M,33,WHITE,UNKNOWN,800 LIGHT ST,N/A,SOUTHERN,FEDERAL HILL,39.279904999999999,-76.612757000000002,"(39.279904999999999,-76.612757000000002)",,1,-76.612757,39.279905
47918,24D04435,4/13/2024 1:15:00 AM,4A,AGG. ASSAULT,,,934,F,28,,UNKNOWN,0 E CROSS ST,N/A,SOUTHERN,FEDERAL HILL,39.276972999999998,-76.613524999999996,"(39.276972999999998,-76.613524999999996)",,1,-76.613525,39.2769730000001
48179,24D09962,4/30/2024 2:06:00 PM,3C,ROBBERY - COMMERCIAL,,,934,NA,,,,1100 S CHARLES ST,N/A,SOUTHERN,FEDERAL HILL,39.276758000000001,-76.614435999999998,"(39.276758000000001,-76.614435999999998)",,1,-76.614436,39.276758
48368,24E01599,5/5/2024 10:45:00 PM,3AO,ROBBERY,,,934,M,30,WHITE,UNKNOWN,800 KEY HWY,N/A,SOUTHERN,FEDERAL HILL,39.279831000000001,-76.606611999999998,"(39.279831000000001,-76.606611999999998)",,1,-76.606612,39.2798310000001
48428,24E35610,5/5/2024 1:45:00 AM,6D,LARCENY,,,934,M,23,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,1000 S CHARLES ST,N/A,SOUTHERN,FEDERAL HILL,39.277605000000001,-76.614491999999998,"(39.277605000000001,-76.614491999999998)",,1,-76.614492,39.2776050000001
49392,24D06073,4/18/2024 8:25:00 PM,6C,LARCENY,,,934,NA,,,,1000 S CHARLES ST,N/A,SOUTHERN,FEDERAL HILL,39.277842,-76.614507000000003,"(39.277842,-76.614507000000003)",,1,-76.6145069999999,39.2778420000001
